,sql,nl_query,GT_sql,tianyi,tianyi_code,zhengning,zhengn_code
109,select Carrier from device order by Device asc,List the carriers of devices in ascending alphabetical order.,SELECT Carrier FROM device ORDER BY Carrier ASC,tianyi,BK1,zhengning,BK1
110,select Carrier from device order by Device,"What are the different carriers for devices, listed in alphabetical order?",SELECT Carrier FROM device ORDER BY Carrier ASC,tianyi,"CL1, A1b",zhengning,"CL1, A1b"
111,select Device from device except select Carrier from device where Software_Platform = 'Android',Return the device carriers that do not have Android as their software platform.,SELECT Carrier FROM device WHERE Software_Platform != 'Android',tianyi,"BL1, A2c, F1",zhengning,"A1d, A1a, BL1"
112,select count ( Software_Platform ) from device,How many different software platforms are there for devices?,SELECT count(DISTINCT Software_Platform) FROM device,tianyi,A1b,zhengning,A1b
113,select count ( Software_Platform ) from device,Count the number of different software platforms.,SELECT count(DISTINCT Software_Platform) FROM device,tianyi,A1b,zhengning,A1b
114,select T2.City from membership_register_branch as T1 join branch as T2 on T1.Branch_ID = T2.Branch_ID group by T1.Branch_ID having count ( * ) >= 100,Show all distinct city where branches with at least 100 memberships are located.,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,tianyi,"CL1, F4",zhengning,"CL1, F4"
115,select T1.Hometown from member as T1 join purchase as T2 on T1.Member_ID = T2.Member_ID join branch as T3 on T2.Branch_ID = T3.Branch_ID where T3.City > 100,What are the different cities that have more than 100 memberships?,SELECT DISTINCT city FROM branch WHERE membership_amount  >=  100,tianyi,"L4, CL1, BL2",zhengning,"L4, CL1, BL1"
116,select Open_year from branch group by Open_year having count ( ) >= 2,List all open years when at least two shops are opened.,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,tianyi,O3,zhengning,O3
117,select Open_year from branch group by Open_year having count ( ) >= 2,What are the opening years in which at least two shops opened?,SELECT open_year FROM branch GROUP BY open_year HAVING count(*)  >=  2,tianyi,O3,zhengning,O3
118,select count ( Level ) from member,How many different levels do members have?,SELECT count(DISTINCT LEVEL) FROM member,tianyi,A1b,zhengning,A1b
119,select Level from member,What are the different membership levels?,SELECT count(DISTINCT LEVEL) FROM member,tianyi,"L4, A1b",zhengning,"L5, A1b"
120,select dorm_name from Dorm where gender = 'F' and gender = 1,Find the name of dorms only for female (F gender).,SELECT dorm_name FROM dorm WHERE gender  =  'F',tianyi,F4,zhengning,F3
121,select dorm_name from Dorm where gender = 'f',What are the names of the all-female dorms?,SELECT dorm_name FROM dorm WHERE gender  =  'F',tianyi,D1a,zhengning,D1a
122,select count ( amenity_name ) from Dorm_amenity,Find the number of distinct amenities.,SELECT count(*) FROM dorm_amenity,tianyi,BL3,zhengning,BL2
123,select count ( amenity_name ) from Dorm_amenity,How many diffrent dorm amenities are there?,SELECT count(*) FROM dorm_amenity,tianyi,BL3,zhengning,BL2
124,select count ( * ) from Dorm_amenity,Find the number of dorms that have some amenity.,SELECT count(DISTINCT dormid) FROM has_amenity,tianyi,"A1b, BL2",zhengning,"BL1, A1b"
125,select count ( dorm_name ) from Dorm,How many dorms have amenities?,SELECT count(DISTINCT dormid) FROM has_amenity,tianyi,"L4, CL1, BL2",zhengning,"L4, CL1, BL1"
126,select count ( gender ) from Dorm,Find the number of distinct gender for dorms.,SELECT count(DISTINCT gender) FROM dorm,tianyi,A1b,zhengning,A1b
127,select count ( gender ) from Dorm,How many different genders are there in the dorms?,SELECT count(DISTINCT gender) FROM dorm,tianyi,A1b,zhengning,A1b
128,select amenity_name from Dorm_amenity order by limit 1,List in alphabetic order all different amenities.,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,tianyi,"BK1, Q1",zhengning,"BK1, Q1"
129,select T3.amenity_name from Dorm as T1 join Has_amenity as T2 on T1.dormid = T2.dormid join Dorm_amenity as T3 on T2.amenid = T3.amenid order by T1.dorm_name,What are the different dorm amenity names in alphabetical order?,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,tianyi,CL1,zhengning,CL1
130,select count ( complaint_type_code ) from Complaints,How many distinct complaint type codes are there in the database?,SELECT count(DISTINCT complaint_type_code) FROM complaints,tianyi,A1b,zhengning,A1b
131,select count ( complaint_type_code ) from Complaints,Count the number of different complaint type codes.,SELECT count(DISTINCT complaint_type_code) FROM complaints,tianyi,A1b,zhengning,A1b
132,select count ( * ) from Video_Games,How many video game types exist?,SELECT count(DISTINCT gtype) FROM Video_games,tianyi,"A1b, BL2",zhengning,"BL1, A1b"
133,"select GName from Video_Games where GType = ""videoible""",What are the names of all video games that are collectible cards?,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game""",tianyi,D1,zhengning,D1
134,"select GType from Video_Games where GName = ""call video of destiny""",What is the type of video game Call of Destiny.,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",tianyi,D1c,zhengning,D1
135,"select GType from Video_Games where GName = ""call destiny""",What type of game is Call of Destiny?,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",tianyi,D1c,zhengning,D1
136,"select count ( * ) from Video_Games where GType = ""Massively multiplayer online""",How many video games have type Massively multiplayer online game?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",tianyi,D1c,zhengning,D1
137,"select count ( * ) from Video_Games where GType = ""Massively multiplayer online""",Count the number of video games with Massively multiplayer online game type .,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",tianyi,D1c,zhengning,D1
138,select Advisor from Student,What are the advisors,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,tianyi,"A1f, AN2, O1",zhengning,"AN2, O1"
139,select count ( * ) from SportsInfo,How many sports do we have?,SELECT count(DISTINCT sportname) FROM Sportsinfo,tianyi,"BL2, A1b",zhengning,"BL1, A1b"
140,select count ( GType ) from Video_Games,How many different types of sports do we offer?,SELECT count(DISTINCT sportname) FROM Sportsinfo,tianyi,"E1, CL1",zhengning,"CL1, E1"
141,select count ( StuID ) from Plays_Games,How many students play sports?,SELECT count(DISTINCT StuID) FROM Sportsinfo,tianyi,CL1,zhengning,CL1
142,select count ( StuID ) from SportsInfo,How many different students are involved in sports?,SELECT count(DISTINCT StuID) FROM Sportsinfo,tianyi,A1b,zhengning,A1b
143,select StuID from Student,List ids for all student who are on scholarship.,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',tianyi,"BL3, CL1",zhengning,CL1
144,select StuID from SportsInfo,What are the ids for all sporty students who are on scholarship?,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',tianyi,F4,zhengning,F4
145,select count ( * ) from Plays_Games,How many games are played for all students?,SELECT sum(gamesplayed) FROM Sportsinfo,tianyi,"CL1, BF4",zhengning,"CL1, CF5"
146,select count ( * ) from Plays_Games,What is the total number of games played?,SELECT sum(gamesplayed) FROM Sportsinfo,tianyi,"CE2, A1b",zhengning,"F4, CL1, CE2, A1b"
147,select T1.StuID from SportsInfo as T1 join Student as T2 on T1.StuID = T2.StuID join Plays_Games as T3 on T2.StuID = T3.StuID group by T3.StuID having sum ( T1.HoursPerWeek ) > 10,Show all student IDs with more than total 10 hours per week on all sports played.,SELECT StuID FROM Sportsinfo GROUP BY StuID HAVING sum(hoursperweek)  >  10,tianyi,E1,zhengning,E1
148,"select count ( T2.StuID ) from Video_Games as T1 join Plays_Games as T2 on T1.GameID = T2.GameID where T1.GType = ""video games""",How many students play video games?,SELECT count(DISTINCT StuID) FROM Plays_games,tianyi,"F3, A1b, E1",zhengning,"F3, A1b, E1"
149,select count ( StuID ) from Plays_Games,How many different students play games?,SELECT count(DISTINCT StuID) FROM Plays_games,tianyi,A1b,zhengning,A1b
150,select form_type_code from Forms,List all the types of forms.,SELECT DISTINCT form_type_code FROM forms,tianyi,A1b,zhengning,A1b
151,select form_type_code from Forms,What are the different types of forms?,SELECT DISTINCT form_type_code FROM forms,tianyi,A1b,zhengning,A1b
152,"select count ( town_city ) from Addresses where state_province_county = ""Colorado""","How many cities are there in state ""Colorado""?","SELECT count(*) FROM addresses WHERE state_province_county  =  ""Colorado""",tianyi,BL3,zhengning,BL1
153,"select count ( town_city ) from Addresses where state_province_county = ""Colorado""",Count the number of cities in the state of Colorado.,"SELECT count(*) FROM addresses WHERE state_province_county  =  ""Colorado""",tianyi,BL3,zhengning,BL1
154,select count ( payment_method_code ) from Parties,How many distinct payment methods are used by parties?,SELECT count(DISTINCT payment_method_code) FROM parties,tianyi,A1b,zhengning,A1b
155,select count ( payment_method_code ) from Parties,Count the number of different payment method codes used by parties.,SELECT count(DISTINCT payment_method_code) FROM parties,tianyi,A1b,zhengning,A1b
156,select T1.individual_last_name from Individuals as T1 join Organization_Contact_Individuals as T2 on T1.individual_id = T2.individual_id join Organizations as T3 on T2.organization_id = T3.organization_id where T3.organization_name = 1,Find the last name of the individuals that have been contact individuals of an organization.,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,tianyi,"BN1, BL1, CL1",zhengning,"CL1, BL1, AN2"
157,select individual_last_name from Individuals,What are the last names of individuals who have been contact individuals for an organization?,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,tianyi,"E1, BL1",zhengning,"E1, CL1"
158,select Home_city from driver,Show all different home cities.,SELECT DISTINCT home_city FROM driver,tianyi,A1b,zhengning,A1b
159,select count ( * ) from train_station,How many train stations are there?,SELECT count(*) FROM station,tianyi,"E1, BL1",zhengning,"E1, CL1"
160,select Location from station,What are all locations of train stations?,SELECT DISTINCT LOCATION FROM station,tianyi,A1b,zhengning,A1b
161,select count ( first_name ) from Staff where first_name = 'Ludie',How many employees have a first name of Ludie?,"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";",tianyi,BL3,zhengning,BL1
162,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""",How many staff live in state Georgia?,"SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",tianyi,BF4,zhengning,CF5
163,"select count ( * ) from Lessons where lesson_status_code = ""cancelled""",How many lessons were in cancelled state?,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",tianyi,D1a,zhengning,D1a
164,select count ( lesson_date ) from Lessons,How many lessons have been cancelled?,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",tianyi,"F4, BL3",zhengning,"BL1, F4"
165,select name from airports where elevation between 50 and 50,Find the name of airports whose altitude is between -50 and 50.,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,tianyi,D1,zhengning,D1
166,select name from airports where elevation between 50 and 50,What are the names of all airports whose elevation is between -50 and 50?,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,tianyi,D1,zhengning,D1
167,"select count ( city ) from airports where country = ""Greenland""",How many different cities do have some airport in the country of Greenland?,SELECT count(DISTINCT city) FROM airports WHERE country  =  'Greenland',tianyi,A1b,zhengning,A1b
168,"select count ( * ) from airports where country = ""Greenland""",In how many cities are there airports in the country of Greenland?,SELECT count(DISTINCT city) FROM airports WHERE country  =  'Greenland',tianyi,A1b,zhengning,"BL1, A1b"
169,select count ( * ) from airports group by city having count ( * ) > 3,How many cities are there that have more than 3 airports?,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,BL1,zhengning,"BL1, P3"
170,select count ( * ) from airports group by city having count ( * ) > 3,What is the count of cities with more than 3 airports?,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),tianyi,P3,zhengning,P3
171,select order_id from Order_Items where product_id = 11,Find the ids of all the order items whose product id is 11.,SELECT order_item_id FROM order_items WHERE product_id = 11,tianyi,BL1,zhengning,BL1
172,select order_id from Order_Items where product_id = 11,Find all the order items whose product id is 11. What are the order item ids?,SELECT order_item_id FROM order_items WHERE product_id = 11,tianyi,BL1,zhengning,BL1
173,"select T2.order_id from Orders as T1 join Shipments as T2 on T1.order_id = T2.order_id where T1.date_order_placed > ""2000 - 01 - 01""",Find the ids of orders which are shipped after 2000-01-01.,"SELECT order_id FROM shipments WHERE shipment_date > ""2000-01-01""",tianyi,"BE5, D1, CE3",zhengning,CE3
174,select product_name from Products order by product_name,List the names of all distinct products in alphabetical order.,SELECT DISTINCT product_name FROM products ORDER BY product_name,tianyi,A1b,zhengning,A1b
175,select product_name from Products order by product_name,Sort all the distinct products in alphabetical order.,SELECT DISTINCT product_name FROM products ORDER BY product_name,tianyi,A1b,zhengning,A1b
176,select Country from singer where Age > 20,What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,tianyi,A1b,zhengning,A1b
177,select Country from singer where Age > 20,What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,tianyi,A1b,zhengning,A1b
178,select avg ( Horsepower ) from cars_data where Cylinders = 4,What is the average miles per gallon of all the cards with 4 cylinders?,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,tianyi,BL1,zhengning,BL1
179,select count ( * ) from car_names where Make = 1980,"In 1980, how many cars were made?",SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,tianyi,E1,zhengning,"CL1, CE2"
180,select Year from cars_data where Weight < 3000 and Weight < 4000,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,select distinct year from cars_data where weight between 3000 and 4000;,tianyi,"F1, BL1",zhengning,"F1, A1b"
181,"select count ( * ) from Cartoon where Written_by = ""Joseph Kuhr"" and Title = 1","How many cartoons were written by ""Joseph Kuhr""?","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tianyi,F4,zhengning,F3
182,"select count ( * ) from Cartoon where Written_by = ""Joseph""",What is the number of cartoones written by Joseph Kuhr?,"SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",tianyi,D1c,zhengning,D1
183,"select Air_Date from TV_series where Episode = ""a love a lifetime""","When did the episode ""A Love of a Lifetime"" air?","SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tianyi,D1a,zhengning,D1a
184,"select Weekly_Rank from TV_series where Episode = ""a love love a lifetime""","What is the weekly rank for the episode ""A Love of a Lifetime""?","SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",tianyi,D1a,zhengning,D1
185,select id from TV_Channel group by count ( * ) > 2,What are the ids of all tv channels that have more than 2 TV channels?,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,tianyi,"BN1, A1f, O1",zhengning,"BN1, O1"
186,"select T1.Name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID where T2.temporary_acting = 'Yes' group by T3.name",Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",tianyi,"BL2, E1, L4, N3",zhengning,"BL1, N3"
187,select age from head,What are the distinct ages of the heads who are acting?,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',tianyi,P3,zhengning,P3
188,"select T1.Name , T3.name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID group by T3.head_ID having count ( * ) > 1","Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1",tianyi,P3,zhengning,P3
189,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10",Find the name and level of catalog structure with level between 5 and 10.,"SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",tianyi,P3,zhengning,P3
190,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10",What are the name and level of catalog structure with level number between 5 and 10,"SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",tianyi,"BN1, CL1",zhengning,"CL1, BN1"
191,"select catalog_name from Catalogs where catalog_publisher like ""% Murray %""","Find all the catalog publishers whose name contains ""Murray""","SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",tianyi,"L4, D1",zhengning,"BL1, A1b"
192,"select catalog_publisher from Catalogs where catalog_name like ""% Murray %""","Which catalog publishers have substring ""Murray"" in their names?","SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",tianyi,"BF4, A1b",zhengning,"BF4, A1b"
193,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_name > 5",Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",tianyi,"BL2, CL1",zhengning,"CL1, AN2"
194,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id join Catalog_Contents as T3 on T2.catalog_level_number = T3.catalog_level_number where T3.catalog_level_number > 5",What are the name and publication date of the catalogs with catalog level number above 5?,"SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",tianyi,E1,zhengning,E1
195,select catalog_entry_name from Catalog_Contents order by price_in_pounds desc limit 1,What is the entry name of the most expensive catalog (in USD)?,SELECT catalog_entry_name FROM catalog_contents ORDER BY price_in_dollars DESC LIMIT 1,tianyi,BK1,zhengning,BK1
196,"select avg ( price_in_dollars ) , min ( price_in_euros ) from Catalog_Contents where limit 1",What are the average and minimum price (in Euro) of all products?,"SELECT avg(price_in_euros) ,  min(price_in_euros) FROM catalog_contents",tianyi,"F4, BL1",zhengning,"F3, BL1"
197,"select avg ( price_in_dollars ) , min ( price_in_euros ) from Catalog_Contents where limit 1",Give me the average and minimum price (in Euro) of the products.,"SELECT avg(price_in_euros) ,  min(price_in_euros) FROM catalog_contents",tianyi,"F4, BL1",zhengning,"F3, BL1"
198,select capacity from Catalog_Contents order by capacity limit 1,Find the name of the product that has the smallest capacity.,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1,tianyi,BL1,zhengning,"BL1, K2"
199,select product_stock_number from Catalog_Contents where product_stock_number like 2%',"Find the names of all the products whose stock number starts with ""2"".","SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,BL1,zhengning,"BL1, P3"
200,select catalog_entry_name from Catalog_Contents where product_stock_number like 2,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.","SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",tianyi,P3,zhengning,P3
201,select T1.catalog_entry_name from Catalog_Contents as T1 join Catalog_Structure as T2 on T1.catalog_level_number = T2.catalog_level_number where T2.catalog_level_name = 8,Find the names of catalog entries with level number 8.,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",tianyi,"D1c, P1",zhengning,P1
202,select catalog_entry_name from Catalog_Contents where catalog_level_number = 8,What are the names of catalog entries with level number 8?,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",tianyi,"E1, D1c, CE2",zhengning,CE2
203,select count ( height ) from Catalog_Contents where length < 3 or width > 5,Find the names of the products with length smaller than 3 or height greater than 5.,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5,tianyi,"L4, BL1",zhengning,"L4, BL1"
204,"select height , capacity from Catalog_Contents where price_in_dollars > 700",Find the name and capacity of products with price greater than 700 (in USD).,"SELECT catalog_entry_name ,  capacity FROM Catalog_Contents WHERE price_in_dollars  >  700",tianyi,BL1,zhengning,BL1
205,"select catalog_entry_name , height from Catalog_Contents where price_in_dollars > 700",Which catalog contents has price above 700 dollars? Show their catalog entry names and capacities.,"SELECT catalog_entry_name ,  capacity FROM Catalog_Contents WHERE price_in_dollars  >  700",tianyi,BL1,zhengning,BL1
206,"select Name from Artist where Name like ""% a %""","Find the names of all artists that have ""a"" in their names.","SELECT Name FROM ARTIST WHERE Name LIKE ""%a%""",tianyi,P3,zhengning,P3
207,"select T2.Title from Artist as T1 join Album as T2 on T1.ArtistId = T2.ArtistId where T1.Name = ""ac / dc""","Find the title of all the albums of the artist ""AC/DC"".","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",tianyi,"E1, D1c",zhengning,"D1a, E1"
208,"select T2.Title from Artist as T1 join Album as T2 on T1.ArtistId = T2.ArtistId where T1.Name = ""ac / dc""","What are the titles of albums by the artist ""AC/DC""?","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",tianyi,D1c,zhengning,D1
209,"select Name from Track where Name like ""% you %""","Find the names of all the tracks that contain the word ""you"".",SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,P3,zhengning,P3
210,select Name from Track where Name like 1,What are the names of tracks that contain the the word you in them?,SELECT Name FROM TRACK WHERE Name LIKE '%you%',tianyi,P3,zhengning,P3
211,"select Milliseconds , max ( Milliseconds ) from Track order by Milliseconds limit 1",What are the durations of the longest and the shortest tracks in milliseconds?,"SELECT max(Milliseconds) ,  min(Milliseconds) FROM TRACK",tianyi,"L4, Q1",zhengning,"L5, Q1"
212,"select T2.Title , T1.AlbumId , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.Title","Show the album names, ids and the number of tracks for each album.","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",tianyi,"D1a, E1, CL1",zhengning,"D1a, E1, CL1"
213,"select T2.Title , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.AlbumId","What are the names and ids of the different albums, and how many tracks are on each?","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",tianyi,"BN1, E1, BL1, CL1",zhengning,"BN1, E1, CL1"
214,"select count ( * ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId where T1.Name = ""rock""",How many tracks belong to rock genre?,"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",tianyi,D1a,zhengning,D1a
215,"select count ( * ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId where T1.Name = ""rock""",Count the number of tracks that are part of the rock genre.,"SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",tianyi,D1a,zhengning,D1a
216,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""jazz""",Find the average unit price of jazz tracks.,"SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Jazz""",tianyi,"BN1, BL1, CL1",zhengning,"BN1, CL1"
217,"select FirstName , LastName from Customer where Email = ""luisg @ . embraer com br""","What is the first name and last name of the customer that has email ""luisg@embraer.com.br""?","SELECT FirstName ,  LastName FROM CUSTOMER WHERE Email  =  ""luisg@embraer.com.br""",tianyi,D1c,zhengning,D1
218,"select FirstName , LastName from Customer where Email = ""luisg . @ embraer com br""","Find the full name of the customer with the email ""luisg@embraer.com.br"".","SELECT FirstName ,  LastName FROM CUSTOMER WHERE Email  =  ""luisg@embraer.com.br""",tianyi,D1c,zhengning,D1
219,"select count ( * ) from Customer where Email like ""gmail . com %""","How many customers have email that contains ""gmail.com""?","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,P3,zhengning,P3
220,"select count ( * ) from Customer where Email = ""gmail . com""","Count the number of customers that have an email containing ""gmail.com"".","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",tianyi,"D1c, P1",zhengning,P1
221,select City from Employee where PostalCode = 70174,What city does the employee who helps the customer with postal code 70174 live in?,"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId WHERE T1.PostalCode  =  ""70174""",tianyi,P3,zhengning,P3
222,select T2.FirstName from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = 'Brazil' and T1.BillingCountry = '` Brazil',Find the first names of all customers that live in Brazil and have an invoice.,"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Brazil""",tianyi,"F3, A1b",zhengning,"F3, A1b"
223,select T2.FirstName from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = 'Brazil' and T1.BillingCountry = 1,What are the different first names for customers from Brazil who have also had an invoice?,"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Brazil""",tianyi,"F3, A1b",zhengning,"F3, A1b"
224,"select T2.Address from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = ""Germany"" and T1.BillingCountry = ""Germany""",Find the address of all customers that live in Germany and have invoice.,"SELECT DISTINCT T1.Address FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Germany""",tianyi,"F4, A1b",zhengning,"F3, A1b"
225,"select count ( * ) from MediaType as T1 join Track as T2 on T1.MediaTypeId = T2.MediaTypeId where T1.Name = ""AAC audio file media""",How many tracks are in the AAC audio file media type?,"SELECT COUNT(*) FROM MEDIATYPE AS T1 JOIN TRACK AS T2 ON T1.MediaTypeId  =  T2.MediaTypeId WHERE T1.Name  =  ""AAC audio file""",tianyi,"BL1, CE2, CL1",zhengning,"CE2, CL1"
226,"select T1.FirstName , T1.EmployeeId from Employee as T1 join Customer as T2 on T1.EmployeeId = T2.SupportRepId group by T2.FirstName having count ( * ) >= 10",Please show the employee first names and ids of employees who serve at least 10 customers.,"SELECT T1.FirstName ,  T1.SupportRepId FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId GROUP BY T1.SupportRepId HAVING COUNT(*)  >=  10",tianyi,BN1,zhengning,BN1
