,sql_id,nl_query,sql,GT_sql,zhengn,record_id_y,zhengn_code
262,436,Find the number of dorms that have some amenity.,select count ( * ) from Dorm_amenity,SELECT count(DISTINCT dormid) FROM has_amenity,zhengning,266218db-5002-4a00-9ce2-43e537c72a1f,"BL1, A1b"
264,437,How many dorms have amenities?,select count ( dorm_name ) from Dorm,SELECT count(DISTINCT dormid) FROM has_amenity,zhengning,64f4141e-d0ca-4b2a-89f7-e7543d619fb0,"CL1, BL1, A1b"
266,438,Find the number of distinct gender for dorms.,select count ( gender ) from Dorm,SELECT count(DISTINCT gender) FROM dorm,zhengning,b736c525-3a77-425f-8920-6ebfb4e821c0,A1b
268,439,How many different genders are there in the dorms?,select count ( gender ) from Dorm,SELECT count(DISTINCT gender) FROM dorm,zhengning,3ce0480a-8d22-4056-afbc-5e785844e54e,A1b
270,440,List in alphabetic order all different amenities.,select amenity_name from Dorm_amenity order by limit 1,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,zhengning,8b281932-fce2-4683-bf8e-101344ec3f0f,"BK1, Q1"
272,441,What are the different dorm amenity names in alphabetical order?,select T3.amenity_name from Dorm as T1 join Has_amenity as T2 on T1.dormid = T2.dormid join Dorm_amenity as T3 on T2.amenid = T3.amenid order by T1.dorm_name,SELECT amenity_name FROM dorm_amenity ORDER BY amenity_name,zhengning,16f52ef1-3ecf-4c2c-91a7-d9410b777a6c,"BK1, E1"
274,448,How many distinct complaint type codes are there in the database?,select count ( complaint_type_code ) from Complaints,SELECT count(DISTINCT complaint_type_code) FROM complaints,zhengning,80165113-a749-47ac-b17e-ab4dd036d04a,A1b
276,449,Count the number of different complaint type codes.,select count ( complaint_type_code ) from Complaints,SELECT count(DISTINCT complaint_type_code) FROM complaints,zhengning,725b0c50-2c83-4340-9e39-e53627083709,A1b
278,452,How many video game types exist?,select count ( * ) from Video_Games,SELECT count(DISTINCT gtype) FROM Video_games,zhengning,d402318e-a9a4-4264-a4b9-7e169a580f4b,"BL1, A1b"
280,457,What are the names of all video games that are collectible cards?,"select GName from Video_Games where GType = ""videoible""","SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game""",zhengning,4f0adb65-3ef3-4a63-8234-d9f888feeb42,D1
282,458,What is the type of video game Call of Destiny.,"select GType from Video_Games where GName = ""call video of destiny""","SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",zhengning,1eee8d66-5780-49e5-942e-1841f1b20561,D1
284,459,What type of game is Call of Destiny?,"select GType from Video_Games where GName = ""call destiny""","SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny""",zhengning,c17b20d3-08a0-48be-bd0f-8ff5acb1dddf,D1
286,460,How many video games have type Massively multiplayer online game?,"select count ( * ) from Video_Games where GType = ""Massively multiplayer online""","SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",zhengning,e4fe4277-e54d-4fd3-ab78-673652bdc228,D1
289,461,Count the number of video games with Massively multiplayer online game type .,"select count ( * ) from Video_Games where GType = ""Massively multiplayer online""","SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game""",zhengning,4650c034-a167-441e-83df-176aa9a83b64,D1
291,469,What are the advisors,select Advisor from Student,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2,zhengning,a531df4c-4e0b-48ca-bb54-5f63f1adb10b,"AN2, O1"
293,470,How many sports do we have?,select count ( * ) from SportsInfo,SELECT count(DISTINCT sportname) FROM Sportsinfo,zhengning,4d266d3c-b992-4784-83a4-d90b7e051118,"BL1, A1b"
295,471,How many different types of sports do we offer?,select count ( GType ) from Video_Games,SELECT count(DISTINCT sportname) FROM Sportsinfo,zhengning,9c9eabf3-9f96-456a-a03d-96035781e184,"CL1, BL1, A1b"
297,472,How many students play sports?,select count ( StuID ) from Plays_Games,SELECT count(DISTINCT StuID) FROM Sportsinfo,zhengning,2d086897-a290-4f9d-8a5a-0bde6719f5ff,"CL1, A1b"
299,473,How many different students are involved in sports?,select count ( StuID ) from SportsInfo,SELECT count(DISTINCT StuID) FROM Sportsinfo,zhengning,7d9a41ff-4129-48bd-aeed-e367cf700e6e,A1b
301,474,List ids for all student who are on scholarship.,select StuID from Student,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',zhengning,9a84b6f7-4180-490f-9c37-06219f75bc00,"CL1, F4"
303,475,What are the ids for all sporty students who are on scholarship?,select StuID from SportsInfo,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y',zhengning,5c683e28-1807-46ad-b910-8174ed6ccccf,F4
305,476,How many games are played for all students?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,zhengning,12ba2f87-27ce-4e57-9850-8663d67c9792,"L4, CL1, BL1"
307,477,What is the total number of games played?,select count ( * ) from Plays_Games,SELECT sum(gamesplayed) FROM Sportsinfo,zhengning,5776be3e-1a1a-4fbd-9855-ecc46dae18e7,"L4, CL1, BL1"
309,478,Show all student IDs with more than total 10 hours per week on all sports played.,select T1.StuID from SportsInfo as T1 join Student as T2 on T1.StuID = T2.StuID join Plays_Games as T3 on T2.StuID = T3.StuID group by T3.StuID having sum ( T1.HoursPerWeek ) > 10,SELECT StuID FROM Sportsinfo GROUP BY StuID HAVING sum(hoursperweek)  >  10,zhengning,e576398c-df22-4c43-b45b-2a2a1ec95697,E1
311,480,How many students play video games?,"select count ( T2.StuID ) from Video_Games as T1 join Plays_Games as T2 on T1.GameID = T2.GameID where T1.GType = ""video games""",SELECT count(DISTINCT StuID) FROM Plays_games,zhengning,16bde00a-8df0-4e85-bdde-05547704813a,"F3, A1b, E1"
313,481,How many different students play games?,select count ( StuID ) from Plays_Games,SELECT count(DISTINCT StuID) FROM Plays_games,zhengning,53384dfd-2bf5-4a87-a7b4-a5c910d69760,A1b
315,487,List all the types of forms.,select form_type_code from Forms,SELECT DISTINCT form_type_code FROM forms,zhengning,794f733b-f170-4ea4-afaa-14b6c68fde41,A1b
317,488,What are the different types of forms?,select form_type_code from Forms,SELECT DISTINCT form_type_code FROM forms,zhengning,503c92d7-1369-4262-a6aa-425da5fc7ed1,A1b
319,493,"How many cities are there in state ""Colorado""?","select count ( town_city ) from Addresses where state_province_county = ""Colorado""","SELECT count(*) FROM addresses WHERE state_province_county  =  ""Colorado""",zhengning,f7ceef30-4143-4b27-b171-e477ad626f72,BL1
321,494,Count the number of cities in the state of Colorado.,"select count ( town_city ) from Addresses where state_province_county = ""Colorado""","SELECT count(*) FROM addresses WHERE state_province_county  =  ""Colorado""",zhengning,caaeb44a-9da0-4ee1-a232-9c966165801b,BL1
323,497,How many distinct payment methods are used by parties?,select count ( payment_method_code ) from Parties,SELECT count(DISTINCT payment_method_code) FROM parties,zhengning,25f58d1a-5bc1-4287-8d8b-24f91a6a5637,A1b
325,498,Count the number of different payment method codes used by parties.,select count ( payment_method_code ) from Parties,SELECT count(DISTINCT payment_method_code) FROM parties,zhengning,456907af-e125-4447-b0fc-86ba45981ef6,A1b
327,499,Find the last name of the individuals that have been contact individuals of an organization.,select T1.individual_last_name from Individuals as T1 join Organization_Contact_Individuals as T2 on T1.individual_id = T2.individual_id join Organizations as T3 on T2.organization_id = T3.organization_id where T3.organization_name = 1,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,zhengning,2b5b8619-f483-4aee-9978-ab8efb5f7379,"F3, A1b, E1"
329,500,What are the last names of individuals who have been contact individuals for an organization?,select individual_last_name from Individuals,SELECT DISTINCT t1.individual_last_name FROM individuals AS t1 JOIN organization_contact_individuals AS t2 ON t1.individual_id  =  t2.individual_id,zhengning,ffaba5c2-d19a-4472-b778-64bcfccb544b,"A1b, E1"
331,503,Show all different home cities.,select Home_city from driver,SELECT DISTINCT home_city FROM driver,zhengning,68b4a43a-478a-4246-af2e-3a22cd2083f2,A1b
333,527,How many train stations are there?,select count ( * ) from train_station,SELECT count(*) FROM station,zhengning,a915defd-2b40-432d-b107-11ef37a3f9f6,CL1
335,528,What are all locations of train stations?,select Location from station,SELECT DISTINCT LOCATION FROM station,zhengning,1329192e-95d1-4793-b6d3-83012edce333,A1b
337,538,How many employees have a first name of Ludie?,select count ( first_name ) from Staff where first_name = 'Ludie',"SELECT count(*) FROM Staff WHERE first_name = ""Ludie"";",zhengning,7c23e52f-d446-4b90-aaac-cb0e4ba330b6,BL1
339,541,How many staff live in state Georgia?,"select count ( * ) from Staff as T1 join Addresses as T2 on T1.staff_address_id = T2.address_id where T2.state_province_county = ""Georgia""","SELECT count(*) FROM Addresses WHERE state_province_county = ""Georgia"";",zhengning,5508bb26-db17-41fe-9db4-b61fddf70855,"CL1, E1"
341,547,How many lessons were in cancelled state?,"select count ( * ) from Lessons where lesson_status_code = ""cancelled""","SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",zhengning,960db0e6-b430-4239-9957-4d56d0668e77,D1a
343,548,How many lessons have been cancelled?,select count ( lesson_date ) from Lessons,"SELECT count(*) FROM Lessons WHERE lesson_status_code = ""Cancelled"";",zhengning,ed5ee731-e3d0-4dbe-8787-f7d104e26ac5,"BL1, F4"
345,557,Find the name of airports whose altitude is between -50 and 50.,select name from airports where elevation between 50 and 50,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,zhengning,29727ace-c348-4ebc-bb92-fd05d2baf331,D1
347,558,What are the names of all airports whose elevation is between -50 and 50?,select name from airports where elevation between 50 and 50,SELECT name FROM airports WHERE elevation BETWEEN -50 AND 50,zhengning,b7938f4d-18a8-4fb9-9ee7-a77477e6e5ac,D1
349,559,How many different cities do have some airport in the country of Greenland?,"select count ( city ) from airports where country = ""Greenland""",SELECT count(DISTINCT city) FROM airports WHERE country  =  'Greenland',zhengning,cd870351-94e7-49fa-b832-1243aab73080,A1b
351,560,In how many cities are there airports in the country of Greenland?,"select count ( * ) from airports where country = ""Greenland""",SELECT count(DISTINCT city) FROM airports WHERE country  =  'Greenland',zhengning,b220fb5b-6996-4ac6-b654-a2662e5206a6,"BL1, A1b"
353,561,How many cities are there that have more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),zhengning,c43e73bf-123b-478e-bde8-2170db7d6b12,CL1
356,562,What is the count of cities with more than 3 airports?,select count ( * ) from airports group by city having count ( * ) > 3,SELECT count(*) FROM (SELECT city FROM airports GROUP BY city HAVING count(*)  >  3),zhengning,fd0232e7-5f70-4481-80bc-8b00713e9920,CL1
358,567,Find the ids of all the order items whose product id is 11.,select order_id from Order_Items where product_id = 11,SELECT order_item_id FROM order_items WHERE product_id = 11,zhengning,09b70fee-a0d8-4fcf-8557-de79690a6f8d,BL1
360,568,Find all the order items whose product id is 11. What are the order item ids?,select order_id from Order_Items where product_id = 11,SELECT order_item_id FROM order_items WHERE product_id = 11,zhengning,8dab1c0d-9d11-4a56-af39-cc0a61051c55,BL1
362,569,Find the ids of orders which are shipped after 2000-01-01.,"select T2.order_id from Orders as T1 join Shipments as T2 on T1.order_id = T2.order_id where T1.date_order_placed > ""2000 - 01 - 01""","SELECT order_id FROM shipments WHERE shipment_date > ""2000-01-01""",zhengning,16f9c6e0-3bb6-4a5b-bcdf-32f395ce06e6,"D1, E1"
364,571,List the names of all distinct products in alphabetical order.,select product_name from Products order by product_name,SELECT DISTINCT product_name FROM products ORDER BY product_name,zhengning,8deed210-5c29-45be-9b9c-5c6eccaa22ed,A1b
366,572,Sort all the distinct products in alphabetical order.,select product_name from Products order by product_name,SELECT DISTINCT product_name FROM products ORDER BY product_name,zhengning,8475d866-c0ca-49b9-9ab0-970637f109f8,A1b
368,577,What are all distinct countries where singers above age 20 are from?,select Country from singer where Age > 20,SELECT DISTINCT country FROM singer WHERE age  >  20,zhengning,deb3bdab-732d-4f21-9434-4f49637c0eca,A1b
370,578,What are  the different countries with singers above age 20?,select Country from singer where Age > 20,SELECT DISTINCT country FROM singer WHERE age  >  20,zhengning,fc4f52aa-7f29-408f-a474-a4e080fd0f57,A1b
372,584,What is the average miles per gallon of all the cards with 4 cylinders?,select avg ( Horsepower ) from cars_data where Cylinders = 4,SELECT avg(mpg) FROM CARS_DATA WHERE Cylinders  =  4;,zhengning,e3e24c14-7f6d-4a21-adda-60de72a7a036,BL1
374,592,"In 1980, how many cars were made?",select count ( * ) from car_names where Make = 1980,SELECT count(*) FROM CARS_DATA WHERE YEAR  =  1980;,zhengning,2fc9d026-c936-4bf8-bb4c-f77251295ae6,"CL1, BF4"
376,593,In which years cars were produced weighing no less than 3000 and no more than 4000 ?,select Year from cars_data where Weight < 3000 and Weight < 4000,select distinct year from cars_data where weight between 3000 and 4000;,zhengning,7e2f108a-ce7f-4acc-a99c-1bbd54995e6c,"F1, A1b"
378,611,"How many cartoons were written by ""Joseph Kuhr""?","select count ( * ) from Cartoon where Written_by = ""Joseph Kuhr"" and Title = 1","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",zhengning,9ac70f4a-bb5e-4f53-93dc-a26e7eeb7a44,F3
380,612,What is the number of cartoones written by Joseph Kuhr?,"select count ( * ) from Cartoon where Written_by = ""Joseph""","SELECT count(*) FROM Cartoon WHERE Written_by = ""Joseph Kuhr"";",zhengning,fee8b128-85cf-42a9-ac87-c1addde2f68e,D1
382,622,"When did the episode ""A Love of a Lifetime"" air?","select Air_Date from TV_series where Episode = ""a love a lifetime""","SELECT Air_Date FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",zhengning,7bf4e522-4d3d-49a7-be2b-c0d380994381,D1a
384,624,"What is the weekly rank for the episode ""A Love of a Lifetime""?","select Weekly_Rank from TV_series where Episode = ""a love love a lifetime""","SELECT Weekly_Rank FROM TV_series WHERE Episode = ""A Love of a Lifetime"";",zhengning,b01b9099-4f60-445e-8ceb-f06350eaa591,D1
386,626,What are the ids of all tv channels that have more than 2 TV channels?,select id from TV_Channel group by count ( * ) > 2,SELECT id FROM tv_channel GROUP BY country HAVING count(*)  >  2,zhengning,ab38266f-6a4f-4891-8d02-177594e2cb75,"BN1, O1"
388,630,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"select T1.Name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID where T2.temporary_acting = 'Yes' group by T3.name","SELECT T1.name ,  T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id  =  T2.department_id WHERE T2.temporary_acting  =  'Yes'",zhengning,6f136e60-7913-4064-ba52-41ba0ea539d3,"BL1, N3"
390,631,What are the distinct ages of the heads who are acting?,select age from head,SELECT DISTINCT T1.age FROM management AS T2 JOIN head AS T1 ON T1.head_id  =  T2.head_id WHERE T2.temporary_acting  =  'Yes',zhengning,17eaccd0-273a-4b3e-98ad-b2f1067fecd4,"F4, CL1, CE2, A1b"
392,632,"Which department has more than 1 head at a time? List the id, name and the number of heads.","select T1.Name , T3.name , count ( * ) from department as T1 join management as T2 on T1.Department_ID = T2.department_ID join head as T3 on T2.head_ID = T3.head_ID group by T3.head_ID having count ( * ) > 1","SELECT T1.department_id ,  T1.name ,  count(*) FROM management AS T2 JOIN department AS T1 ON T1.department_id  =  T2.department_id GROUP BY T1.department_id HAVING count(*)  >  1",zhengning,ed2ade0f-48d0-44be-8b4b-4ad4d5b13613,"CL1, BL1, AN2"
394,634,Find the name and level of catalog structure with level between 5 and 10.,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",zhengning,4f6842da-2561-4b71-a488-446a13c8688d,"E1, CL1"
396,635,What are the name and level of catalog structure with level number between 5 and 10,"select T1.catalog_name , T2.catalog_level_name from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_number between 5 and 10","SELECT catalog_level_name ,  catalog_level_number FROM Catalog_Structure WHERE catalog_level_number BETWEEN 5 AND 10",zhengning,00d19dc0-cfed-47d0-bee8-b122f43d59bf,"E1, CL1"
398,636,"Find all the catalog publishers whose name contains ""Murray""","select catalog_name from Catalogs where catalog_publisher like ""% Murray %""","SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",zhengning,16279627-b08f-4b65-a2ed-1409f3acd422,"BL1, A1b"
400,637,"Which catalog publishers have substring ""Murray"" in their names?","select catalog_publisher from Catalogs where catalog_name like ""% Murray %""","SELECT distinct(catalog_publisher) FROM catalogs WHERE catalog_publisher LIKE ""%Murray%""",zhengning,0d2c6f65-75d4-4918-bd76-314fb818d1c5,"BF4, A1b"
402,638,Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id where T2.catalog_level_name > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",zhengning,41643013-6352-43ae-b025-c2242b900491,CF5
404,639,What are the name and publication date of the catalogs with catalog level number above 5?,"select T1.catalog_name , T1.date_of_publication from Catalogs as T1 join Catalog_Structure as T2 on T1.catalog_id = T2.catalog_id join Catalog_Contents as T3 on T2.catalog_level_number = T3.catalog_level_number where T3.catalog_level_number > 5","SELECT t1.catalog_name ,  t1.date_of_publication FROM catalogs AS t1 JOIN catalog_structure AS t2 ON t1.catalog_id  =  t2.catalog_id WHERE catalog_level_number  >  5",zhengning,1fd9f0bb-ebee-43bb-9efa-dc1b5cb88ff0,E1
406,640,What is the entry name of the most expensive catalog (in USD)?,select catalog_entry_name from Catalog_Contents order by price_in_pounds desc limit 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY price_in_dollars DESC LIMIT 1,zhengning,c37617e1-020e-468f-b85a-e012d589a32d,BK1
408,642,What are the average and minimum price (in Euro) of all products?,"select avg ( price_in_dollars ) , min ( price_in_euros ) from Catalog_Contents where limit 1","SELECT avg(price_in_euros) ,  min(price_in_euros) FROM catalog_contents",zhengning,490706f2-3ca7-4b4a-b56a-f95a5eac4bfa,"F3, BL1"
410,643,Give me the average and minimum price (in Euro) of the products.,"select avg ( price_in_dollars ) , min ( price_in_euros ) from Catalog_Contents where limit 1","SELECT avg(price_in_euros) ,  min(price_in_euros) FROM catalog_contents",zhengning,0c818eba-2a2f-4554-bdfe-62032a72087a,"F3, BL1"
412,646,Find the name of the product that has the smallest capacity.,select capacity from Catalog_Contents order by capacity limit 1,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1,zhengning,c100cb32-4ca0-4090-9a82-994ab06da3a9,"BL1, K2"
414,648,"Find the names of all the products whose stock number starts with ""2"".",select product_stock_number from Catalog_Contents where product_stock_number like 2%',"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",zhengning,448199bf-2bb7-4575-84d3-5ca078a1f471,"BL1, P3"
416,649,"Which catalog contents have a product stock number that starts from ""2""? Show the catalog entry names.",select catalog_entry_name from Catalog_Contents where product_stock_number like 2,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%""",zhengning,5b3ffcba-3aa2-4a0b-a063-f316a1329ed2,P3
418,650,Find the names of catalog entries with level number 8.,select T1.catalog_entry_name from Catalog_Contents as T1 join Catalog_Structure as T2 on T1.catalog_level_number = T2.catalog_level_number where T2.catalog_level_name = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",zhengning,a2740956-792c-4665-85bd-f90a13d5bbfa,"CE3, BE5"
420,651,What are the names of catalog entries with level number 8?,select catalog_entry_name from Catalog_Contents where catalog_level_number = 8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8""",zhengning,175084f1-1021-4cbf-8b96-b25601e0aee8,"CL1, CE2"
422,652,Find the names of the products with length smaller than 3 or height greater than 5.,select count ( height ) from Catalog_Contents where length < 3 or width > 5,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5,zhengning,d571326a-fb52-4248-9b82-241f70cc9163,"L4, BL1"
424,656,Find the name and capacity of products with price greater than 700 (in USD).,"select height , capacity from Catalog_Contents where price_in_dollars > 700","SELECT catalog_entry_name ,  capacity FROM Catalog_Contents WHERE price_in_dollars  >  700",zhengning,8c2f8056-edd3-4530-a4ba-b102737d9bec,BL1
426,657,Which catalog contents has price above 700 dollars? Show their catalog entry names and capacities.,"select catalog_entry_name , height from Catalog_Contents where price_in_dollars > 700","SELECT catalog_entry_name ,  capacity FROM Catalog_Contents WHERE price_in_dollars  >  700",zhengning,99c63fe9-c2c3-435d-89be-ac4a3fa5c27b,BL1
428,660,"Find the names of all artists that have ""a"" in their names.","select Name from Artist where Name like ""% a %""","SELECT Name FROM ARTIST WHERE Name LIKE ""%a%""",zhengning,ae5d77af-d19f-489e-8ec7-46a41550e14e,P3
430,662,"Find the title of all the albums of the artist ""AC/DC"".","select T2.Title from Artist as T1 join Album as T2 on T1.ArtistId = T2.ArtistId where T1.Name = ""ac / dc""","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",zhengning,c3edbfc8-7dd6-4f28-943f-a8fcb869faee,"D1a, E1"
432,663,"What are the titles of albums by the artist ""AC/DC""?","select T2.Title from Artist as T1 join Album as T2 on T1.ArtistId = T2.ArtistId where T1.Name = ""ac / dc""","SELECT Title FROM ALBUM AS T1 JOIN ARTIST AS T2 ON T1.ArtistId  =  T2.ArtistId WHERE T2.Name  =  ""AC/DC""",zhengning,8b518438-42f2-4ac1-a501-87933d19fe3c,D1
434,668,"Find the names of all the tracks that contain the word ""you"".","select Name from Track where Name like ""% you %""",SELECT Name FROM TRACK WHERE Name LIKE '%you%',zhengning,d70eba5e-e2d5-41d4-91a1-b76bdffe7838,P3
436,669,What are the names of tracks that contain the the word you in them?,select Name from Track where Name like 1,SELECT Name FROM TRACK WHERE Name LIKE '%you%',zhengning,eb09802c-2d39-4eb4-b9c9-86f13779ab78,P3
438,670,What are the durations of the longest and the shortest tracks in milliseconds?,"select Milliseconds , max ( Milliseconds ) from Track order by Milliseconds limit 1","SELECT max(Milliseconds) ,  min(Milliseconds) FROM TRACK",zhengning,bf48de04-e0f9-4440-a63e-3e0f8de18193,"L5, Q1"
440,672,"Show the album names, ids and the number of tracks for each album.","select T2.Title , T1.AlbumId , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.Title","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",zhengning,b55eb153-8481-446c-96a9-24b67578f6ee,"CL1, BN1"
442,673,"What are the names and ids of the different albums, and how many tracks are on each?","select T2.Title , count ( * ) from Track as T1 join Album as T2 on T1.AlbumId = T2.AlbumId group by T2.AlbumId","SELECT T1.Title ,  T2.AlbumID ,  COUNT(*) FROM ALBUM AS T1 JOIN TRACK AS T2 ON T1.AlbumId  =  T2.AlbumId GROUP BY T2.AlbumID",zhengning,6128a879-1ca5-47c0-9e5a-dee9028659d8,"CL1, AN2"
444,674,How many tracks belong to rock genre?,"select count ( * ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId where T1.Name = ""rock""","SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",zhengning,645716fc-97fb-496b-aa23-a59f3b198d38,D1a
446,675,Count the number of tracks that are part of the rock genre.,"select count ( * ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId where T1.Name = ""rock""","SELECT COUNT(*) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Rock""",zhengning,15dbe218-bd4b-4e7f-9992-d522470ee680,D1a
448,677,Find the average unit price of jazz tracks.,"select avg ( T3.UnitPrice ) from Genre as T1 join Track as T2 on T1.GenreId = T2.GenreId join InvoiceLine as T3 on T2.TrackId = T3.TrackId where T1.Name = ""jazz""","SELECT AVG(UnitPrice) FROM GENRE AS T1 JOIN TRACK AS T2 ON T1.GenreId  =  T2.GenreId WHERE T1.Name  =  ""Jazz""",zhengning,b1d5b7ef-6ba9-4319-82a9-b920353243e3,"D1a, CL1, E1"
450,678,"What is the first name and last name of the customer that has email ""luisg@embraer.com.br""?","select FirstName , LastName from Customer where Email = ""luisg @ . embraer com br""","SELECT FirstName ,  LastName FROM CUSTOMER WHERE Email  =  ""luisg@embraer.com.br""",zhengning,49e786f0-b239-4989-95bb-2702810f879d,D1
452,679,"Find the full name of the customer with the email ""luisg@embraer.com.br"".","select FirstName , LastName from Customer where Email = ""luisg . @ embraer com br""","SELECT FirstName ,  LastName FROM CUSTOMER WHERE Email  =  ""luisg@embraer.com.br""",zhengning,2fbf42a6-f957-4877-b5a7-90e9b566cf74,D1
454,680,"How many customers have email that contains ""gmail.com""?","select count ( * ) from Customer where Email like ""gmail . com %""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",zhengning,58ced0b7-5a07-4b4f-b8f7-223a7178b9d3,P3
456,681,"Count the number of customers that have an email containing ""gmail.com"".","select count ( * ) from Customer where Email = ""gmail . com""","SELECT COUNT(*) FROM CUSTOMER WHERE Email LIKE ""%gmail.com%""",zhengning,d4011417-1589-4df4-aca7-e8b94bdd391e,P1
458,684,What city does the employee who helps the customer with postal code 70174 live in?,select City from Employee where PostalCode = 70174,"SELECT T2.City FROM CUSTOMER AS T1 JOIN EMPLOYEE AS T2 ON T1.SupportRepId  =  T2.EmployeeId WHERE T1.PostalCode  =  ""70174""",zhengning,9149c834-9b0e-4564-bd6d-2d6003625329,CE2
460,688,Find the first names of all customers that live in Brazil and have an invoice.,select T2.FirstName from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = 'Brazil' and T1.BillingCountry = '` Brazil',"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Brazil""",zhengning,68db5911-beef-4c8d-84f2-0164a01dc660,"F3, A1b"
462,689,What are the different first names for customers from Brazil who have also had an invoice?,select T2.FirstName from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = 'Brazil' and T1.BillingCountry = 1,"SELECT DISTINCT T1.FirstName FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Brazil""",zhengning,bf2946b3-29f1-4f83-a4f7-893501dde648,"F3, A1b"
464,690,Find the address of all customers that live in Germany and have invoice.,"select T2.Address from Invoice as T1 join Customer as T2 on T1.CustomerId = T2.CustomerId where T2.Country = ""Germany"" and T1.BillingCountry = ""Germany""","SELECT DISTINCT T1.Address FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CustomerId  =  T2.CustomerId WHERE T1.country  =  ""Germany""",zhengning,870756bc-b202-445a-80c2-5e3a1a8f36e0,"F3, A1b"
